/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:6:44: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:7:33: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:10:38: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:17:21: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:24:21: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:233:22: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:235:44: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:349:13: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:452:29: error: element "PP" not allowed anywhere; expected element "Module"
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:473:56: error: element "sec:SFRs" not allowed here; expected text, element "_", "assignable", "base-pp", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:476:61: error: element "audit-table" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:479:56: error: element "f-component" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:518:55: error: element "f-component" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:537:54: error: element "f-component" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/PSD-KM/PSD-KM/input/PSD-KM.xml:581:54: error: element "f-component" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "no-link", "objective", "optional", "provides", "refinement", "replace", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
